,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##INCHES,Section Name Key##other##
WT13.5X51,10,13.5,0.83,0.515,0.6,10.13,15,51,258,69.6,25.3,13.9,45,21.7,2.63,12.6,5.5,WT13.5X51
WT13.5X47,10,13.5,0.745,0.49,0.595,10.09,13.8,47,239,62,23.8,12.4,42.4,19.4,2.01,10.2,5.5,WT13.5X47
WT13.5X42,10,13.4,0.64,0.46,0.6,9.92,12.4,42,216,52.8,21.9,10.6,39.2,16.6,1.4,7.79,5.5,WT13.5X42
WT12X185,13.7,14,2.72,1.52,0.5,10.43,54.5,185,779,581,74.7,85.1,140,133,100,553,5.5,WT12X185
WT12X167.5,13.5,13.8,2.48,1.38,0.5,10.38,49.1,167.5,686,513,66.3,75.9,123,119,75.6,405,5.5,WT12X167.5
WT12X153,13.4,13.6,2.28,1.26,0.5,10.31,44.9,153,611,460,59.4,68.6,110,107,58.4,305,5.5,WT12X153
WT12X139.5,13.3,13.4,2.09,1.16,0.5,10.22,41,139.5,546,412,53.6,61.9,98.8,96.3,45.1,230,5.5,WT12X139.5
WT12X125,13.2,13.2,1.89,1.04,0.5,10.15,36.8,125,478,362,47.2,54.9,86.5,85.2,33.2,165,5.5,WT12X125
WT12X114.5,13.1,13,1.73,0.96,0.5,10.04,33.6,114.5,431,326,42.9,49.7,78.1,77,25.5,125,5.5,WT12X114.5
WT12X103.5,13,12.9,1.57,0.87,0.5,10.03,30.3,103.5,382,289,38.3,44.4,69.3,68.6,19.1,91.3,5.5,WT12X103.5
WT12X96,13,12.7,1.46,0.81,0.5,9.9,28.2,96,350,265,35.2,40.9,63.5,63.1,15.3,72.5,5.5,WT12X96
WT12X88,12.9,12.6,1.34,0.75,0.5,9.86,25.8,88,319,240,32.2,37.2,57.8,57.3,11.9,55.8,5.5,WT12X88
