,Diameter##SECTION_PROPERTY##INCHES,Perimeter##Surface_Area##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
RB 8 1/8,8.125,25.513,51.822,213.926,213.926,52.659,52.659,89.396,89.396,RB 8 1/8
RB 8 11/16,8.6875,27.279,59.246,279.608,279.608,64.37,64.37,109.278,109.278,RB 8 11/16
RB 8 13/16,8.8125,27.671,60.963,296.051,296.051,67.189,67.189,114.063,114.063,RB 8 13/16
RB 8 15/16,8.9375,28.064,62.705,313.209,313.209,70.089,70.089,118.986,118.986,RB 8 15/16
RB 8 3/16,8.1875,25.709,52.623,220.585,220.585,53.883,53.883,91.475,91.475,RB 8 3/16
RB 8 3/4,8.75,27.475,60.102,287.741,287.741,65.769,65.769,111.654,111.654,RB 8 3/4
RB 8 3/8,8.375,26.298,55.06,241.496,241.496,57.671,57.671,97.905,97.905,RB 8 3/8
RB 8 5/16,8.3125,26.101,54.242,234.367,234.367,56.389,56.389,95.729,95.729,RB 8 5/16
RB 8 5/8,8.625,27.083,58.397,271.648,271.648,62.991,62.991,106.937,106.937,RB 8 5/8
RB 8 7/16,8.4375,26.494,55.885,248.785,248.785,58.971,58.971,100.113,100.113,RB 8 7/16
RB 8 7/8,8.875,27.868,61.831,304.539,304.539,68.629,68.629,116.508,116.508,RB 8 7/8
RB 8 9/16,8.5625,26.886,57.553,263.859,263.859,61.631,61.631,104.629,104.629,RB 8 9/16
RB 9,9,28.26,63.585,322.062,322.062,71.569,71.569,121.5,121.5,RB 9
RB 9 1/16,9.0625,28.456,64.471,331.102,331.102,73.071,73.071,124.049,124.049,RB 9 1/16
RB 9 1/2,9.5,29.83,70.846,399.82,399.82,84.173,84.173,142.896,142.896,RB 9 1/2
RB 9 1/4,9.25,29.045,67.167,359.366,359.366,77.701,77.701,131.909,131.909,RB 9 1/4
RB 9 1/8,9.125,28.653,65.364,340.331,340.331,74.593,74.593,126.633,126.633,RB 9 1/8
RB 9 11/16,9.6875,30.419,73.67,432.331,432.331,89.256,89.256,151.525,151.525,RB 9 11/16
RB 9 13/16,9.8125,30.811,75.584,455.081,455.081,92.755,92.755,157.466,157.466,RB 9 13/16
RB 9 15/16,9.9375,31.204,77.522,478.717,478.717,96.345,96.345,163.561,163.561,RB 9 15/16
RB 9 3/16,9.1875,28.849,66.262,349.751,349.751,76.136,76.136,129.253,129.253,RB 9 3/16
RB 9 3/4,9.75,30.615,74.624,443.597,443.597,90.994,90.994,154.477,154.477,RB 9 3/4
RB 9 3/8,9.375,29.438,68.994,379.188,379.188,80.894,80.894,137.329,137.329,RB 9 3/8
RB 9 5/16,9.3125,29.241,68.077,369.177,369.177,79.286,79.286,134.601,134.601,RB 9 5/16
RB 9 5/8,9.625,30.223,72.723,421.282,421.282,87.539,87.539,148.611,148.611,RB 9 5/8
RB 9 7/16,9.4375,29.634,69.917,389.402,389.402,82.522,82.522,140.094,140.094,RB 9 7/16
RB 9 7/8,9.875,31.008,76.55,466.787,466.787,94.539,94.539,160.494,160.494,RB 9 7/8
RB 9 9/16,9.5625,30.026,71.782,410.446,410.446,85.845,85.845,145.735,145.735,RB 9 9/16
RB 9/16,0.5625,1.766,0.248,0.005,0.005,0.017,0.017,0.03,0.03,RB 9/16
