,Height##SECTION_PROPERTY##INCHES,Width##SECTION_PROPERTY##INCHES,Perimeter##Surface_Area##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
RV 11 13/16,11.8125,11.8125,47.25,139.535,1622.505,1622.505,274.71,274.71,412.065,412.065,RV 11 13/16
RV 11 15/16,11.9375,11.9375,47.75,142.504,1692.28,1692.28,283.523,283.523,425.285,425.285,RV 11 15/16
RV 11 3/16,11.1875,11.1875,44.75,125.16,1305.422,1305.422,233.372,233.372,350.057,350.057,RV 11 3/16
RV 11 3/4,11.75,11.75,47,138.063,1588.438,1588.438,270.372,270.372,405.559,405.559,RV 11 3/4
RV 11 3/8,11.375,11.375,45.5,129.391,1395.161,1395.161,245.303,245.303,367.955,367.955,RV 11 3/8
RV 11 5/16,11.3125,11.3125,45.25,127.973,1364.75,1364.75,241.282,241.282,361.923,361.923,RV 11 5/16
RV 11 5/8,11.625,11.625,46.5,135.141,1521.916,1521.916,261.835,261.835,392.752,392.752,RV 11 5/8
RV 11 7/16,11.4375,11.4375,45.75,130.816,1426.078,1426.078,249.369,249.369,374.053,374.053,RV 11 7/16
RV 11 7/8,11.875,11.875,47.5,141.016,1657.117,1657.117,279.093,279.093,418.64,418.64,RV 11 7/8
RV 11 9/16,11.5625,11.5625,46.25,133.691,1489.449,1489.449,257.634,257.634,386.452,386.452,RV 11 9/16
RV 11/16,0.6875,0.6875,2.75,0.473,0.019,0.019,0.054,0.054,0.081,0.081,RV 11/16
RV 12,12,12,48,144,1728,1728,288,288,432,432,RV 12
RV 13/16,0.8125,0.8125,3.25,0.66,0.036,0.036,0.089,0.089,0.134,0.134,RV 13/16
RV 15/16,0.9375,0.9375,3.75,0.879,0.064,0.064,0.137,0.137,0.206,0.206,RV 15/16
RV 2,2,2,8,4,1.333,1.333,1.333,1.333,2,2,RV 2
RV 2 1/16,2.0625,2.0625,8.25,4.254,1.508,1.508,1.462,1.462,2.193,2.193,RV 2 1/16
RV 2 1/2,2.5,2.5,10,6.25,3.255,3.255,2.604,2.604,3.906,3.906,RV 2 1/2
RV 2 1/4,2.25,2.25,9,5.063,2.136,2.136,1.898,1.898,2.848,2.848,RV 2 1/4
RV 2 1/8,2.125,2.125,8.5,4.516,1.699,1.699,1.599,1.599,2.399,2.399,RV 2 1/8
RV 2 11/16,2.6875,2.6875,10.75,7.223,4.347,4.347,3.235,3.235,4.853,4.853,RV 2 11/16
RV 2 13/16,2.8125,2.8125,11.25,7.91,5.214,5.214,3.708,3.708,5.562,5.562,RV 2 13/16
RV 2 15/16,2.9375,2.9375,11.75,8.629,6.205,6.205,4.225,4.225,6.337,6.337,RV 2 15/16
RV 2 3/16,2.1875,2.1875,8.75,4.785,1.908,1.908,1.745,1.745,2.617,2.617,RV 2 3/16
RV 2 3/4,2.75,2.75,11,7.563,4.766,4.766,3.466,3.466,5.199,5.199,RV 2 3/4
RV 2 3/8,2.375,2.375,9.5,5.641,2.651,2.651,2.233,2.233,3.349,3.349,RV 2 3/8
RV 2 5/16,2.3125,2.3125,9.25,5.348,2.383,2.383,2.061,2.061,3.092,3.092,RV 2 5/16
RV 2 5/8,2.625,2.625,10.5,6.891,3.957,3.957,3.015,3.015,4.522,4.522,RV 2 5/8
RV 2 7/16,2.4375,2.4375,9.75,5.941,2.942,2.942,2.414,2.414,3.621,3.621,RV 2 7/16
RV 2 7/8,2.875,2.875,11.5,8.266,5.693,5.693,3.961,3.961,5.941,5.941,RV 2 7/8
RV 2 9/16,2.5625,2.5625,10.25,6.566,3.593,3.593,2.804,2.804,4.207,4.207,RV 2 9/16
RV 3,3,3,12,9,6.75,6.75,4.5,4.5,6.75,6.75,RV 3
RV 3 1/16,3.0625,3.0625,12.25,9.379,7.33,7.33,4.787,4.787,7.181,7.181,RV 3 1/16
RV 3 1/2,3.5,3.5,14,12.25,12.505,12.505,7.146,7.146,10.719,10.719,RV 3 1/2
RV 3 1/4,3.25,3.25,13,10.563,9.297,9.297,5.721,5.721,8.582,8.582,RV 3 1/4
RV 3 1/8,3.125,3.125,12.5,9.766,7.947,7.947,5.086,5.086,7.629,7.629,RV 3 1/8
RV 3 11/16,3.6875,3.6875,14.75,13.598,15.408,15.408,8.357,8.357,12.535,12.535,RV 3 11/16
RV 3 13/16,3.8125,3.8125,15.25,14.535,17.606,17.606,9.236,9.236,13.854,13.854,RV 3 13/16
RV 3 15/16,3.9375,3.9375,15.75,15.504,20.031,20.031,10.174,10.174,15.262,15.262,RV 3 15/16
RV 3 3/16,3.1875,3.1875,12.75,10.16,8.602,8.602,5.398,5.398,8.096,8.096,RV 3 3/16
RV 3 3/4,3.75,3.75,15,14.063,16.479,16.479,8.789,8.789,13.184,13.184,RV 3 3/4
RV 3 3/8,3.375,3.375,13.5,11.391,10.812,10.812,6.407,6.407,9.611,9.611,RV 3 3/8
RV 3 5/16,3.3125,3.3125,13.25,10.973,10.033,10.033,6.058,6.058,9.087,9.087,RV 3 5/16
RV 3 5/8,3.625,3.625,14.5,13.141,14.39,14.39,7.939,7.939,11.909,11.909,RV 3 5/8
RV 3 7/16,3.4375,3.4375,13.75,11.816,11.636,11.636,6.77,6.77,10.155,10.155,RV 3 7/16
RV 3 7/8,3.875,3.875,15.5,15.016,18.789,18.789,9.698,9.698,14.546,14.546,RV 3 7/8
RV 3 9/16,3.5625,3.5625,14.25,12.691,13.423,13.423,7.536,7.536,11.303,11.303,RV 3 9/16
RV 3/16,0.1875,0.1875,0.75,0.035,0,0,0.001,0.001,0.002,0.002,RV 3/16
RV 3/4,0.75,0.75,3,0.563,0.026,0.026,0.07,0.07,0.105,0.105,RV 3/4
RV 3/8,0.375,0.375,1.5,0.141,0.002,0.002,0.009,0.009,0.013,0.013,RV 3/8
RV 4,4,4,16,16,21.333,21.333,10.667,10.667,16,16,RV 4
RV 4 1/16,4.0625,4.0625,16.25,16.504,22.698,22.698,11.175,11.175,16.762,16.762,RV 4 1/16
RV 4 1/2,4.5,4.5,18,20.25,34.172,34.172,15.188,15.188,22.781,22.781,RV 4 1/2
RV 4 1/4,4.25,4.25,17,18.063,27.188,27.188,12.794,12.794,19.191,19.191,RV 4 1/4
RV 4 1/8,4.125,4.125,16.5,17.016,24.128,24.128,11.698,11.698,17.547,17.547,RV 4 1/8
RV 4 11/16,4.6875,4.6875,18.75,21.973,40.233,40.233,17.166,17.166,25.749,25.749,RV 4 11/16
RV 4 13/16,4.8125,4.8125,19.25,23.16,44.699,44.699,18.576,18.576,27.865,27.865,RV 4 13/16
RV 4 15/16,4.9375,4.9375,19.75,24.379,49.528,49.528,20.062,20.062,30.093,30.093,RV 4 15/16
RV 4 3/16,4.1875,4.1875,16.75,17.535,25.623,25.623,12.238,12.238,18.357,18.357,RV 4 3/16
RV 4 3/4,4.75,4.75,19,22.563,42.422,42.422,17.862,17.862,26.793,26.793,RV 4 3/4
RV 4 3/8,7.375,7.375,29.5,54.391,30.53,30.53,13.957,13.957,20.935,20.935,RV 4 3/8
RV 4 5/16,4.3125,4.3125,17.25,18.598,28.823,28.823,13.367,13.367,20.051,20.051,RV 4 5/16
